City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port mathurin,-19.6833,63.4167,24.9,70,68,5.02,MU,1684975836
83,gadzhiyevo,69.2551,33.3362,11.16,66,100,7.91,RU,1684976325
84,bredasdorp,-34.5322,20.0403,12.86,56,100,2.8,ZA,1684975975
85,east london,-33.0153,27.9116,20.24,33,98,3.82,ZA,1684976325
86,ushuaia,-54.8,-68.3,3.81,87,75,1.03,AR,1684976250
87,katsuura,35.1333,140.3,19.01,61,100,2.45,JP,1684976325
88,bartica,6.4,-58.6167,27.18,97,100,1.19,GY,1684976325
89,weno,7.4515,151.8468,28.11,67,100,1.4,FM,1684976325
90,iqaluit,63.7506,-68.5145,-0.15,86,100,7.2,CA,1684976263
91,bandon,51.7469,-8.7425,13.77,95,0,3.24,IE,1684976325
92,bethel,41.3712,-73.414,15.17,81,100,2.57,US,1684976091
93,machico,32.7,-16.7667,17.62,82,20,1.54,PT,1684976326
94,west island,-12.1568,96.8225,26.99,83,75,8.23,CC,1684976254
95,ilulissat,69.2167,-51.1,-6.52,80,88,3.13,GL,1684976326
96,embi,48.8264,58.1442,17.3,41,0,3.42,KZ,1684976326
97,chisineu-cris,46.5333,21.5167,15.08,96,10,2.4,RO,1684976326
98,sakaiminato,35.55,133.2333,19.99,42,75,2.06,JP,1684976326
99,gebeit,21.0667,36.3167,26.46,55,7,1.7,SD,1684976326
100,punta arenas,-53.15,-70.9167,2.84,67,100,9.83,CL,1684976326
101,oranjemund,-28.55,16.4333,12.59,84,0,3.82,NA,1684976327
102,pacific grove,36.6177,-121.9166,16.47,79,0,7.72,US,1684976264
103,kavieng,-2.5744,150.7967,26.25,87,100,5.16,PG,1684976327
104,huntingburg,38.2989,-86.955,26.05,44,0,1.54,US,1684976327
105,codrington,-38.2667,141.9667,12.05,84,100,5.71,AU,1684976242
106,olonkinbyen,70.9221,-8.7187,-1.99,89,100,18.02,SJ,1684976257
107,villa gesell,-37.2639,-56.973,17.81,96,90,2.15,AR,1684976218
108,puerto lempira,15.2667,-83.7667,29.08,74,20,4.12,HN,1684976327
109,axim,4.8699,-2.2405,26.5,85,100,3.22,GH,1684976327
110,ust-nera,64.5667,143.2,3.06,89,99,2.24,RU,1684976264
111,nar'yan-mar,67.6713,53.087,13.81,87,100,3.39,RU,1684976258
112,wawa,9.9022,4.4192,26.88,76,73,2.42,NG,1684976327
